Namn;Ägartyp;Antal P-platser;Avgiftsbelagd tid - vardag;Avgiftsbelagd tid - vardag före helg;Avgiftsbelagd tid - helg;Taxa - avgiftsbelagd tid;Taxa - övrig tid;Tele P nr;EasyPark nr;Status;geo_shape;geo_point_2d
Idrottens hus;hbg;;8:00-22:00;(8:00-22:00);;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.705263016705961, 56.05159406187636]}";56.0515940619,12.7052630167
Carl Krooks gata;hbg;12;9:00-18:00;(9:00-15:00);;10;;9515;4015;aktiv;"{""type"": ""Point"", ""coordinates"": [12.700656690747401, 56.040040396804585]}";56.0400403968,12.7006566907
Sockerbruksgatan;hbg;33;0:00-24:00;(0:00-24:00);0:00-24:00;5;;;42016;aktiv;"{""type"": ""Point"", ""coordinates"": [12.697157546041646, 56.03697426502464]}";56.036974265,12.697157546
Bollbrogatan;hbg;24;9:00-18:00;(9:00-15:00);;10;;9507;4007;aktiv;"{""type"": ""Point"", ""coordinates"": [12.69864775241761, 56.04183821657058]}";56.0418382166,12.6986477524
Sundstorgsgaraget -1;hbg;;8:00-18:00;(8:00-15:00);;15;5;9511;4102;aktiv;"{""type"": ""Point"", ""coordinates"": [12.689786370007704, 56.04805272547539]}";56.0480527255,12.68978637
Bergaliden vs;hbg;14;9:00-18:00;(9:00-15:00);;5;;9502;4002;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701561663185856, 56.04547956103557]}";56.045479561,12.7015616632
Hamntorget västra;hbg;121;9:00-18:00;(9:00-15:00);;15;;9537;4037;bortpl;"{""type"": ""Point"", ""coordinates"": [12.690701979224107, 56.04559551105639]}";56.0455955111,12.6907019792
Trädgårdsgatan;hbg;9;9:00-18:00;(9:00-15:00);;10;;9582;4083;aktiv;"{""type"": ""Point"", ""coordinates"": [12.698396353460357, 56.04349290184614]}";56.0434929018,12.6983963535
Södra Tvärgatan;hbg;15;9:00-18:00;(9:00-15:00);;5;;;4080;aktiv;"{""type"": ""Point"", ""coordinates"": [12.706228959325463, 56.03845576389642]}";56.0384557639,12.7062289593
Carl Krooks gata;hbg;30;9:00-18:00;(9:00-15:00);;10;;9519;4019;aktiv;"{""type"": ""Point"", ""coordinates"": [12.699685184372102, 56.042498865078414]}";56.0424988651,12.6996851844
Fredriksdal;hbg;;9:00-22:00;9:00-22:00;9:00-22:00;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.708190433441727, 56.05773713837305]}";56.0577371384,12.7081904334
Södra Storgatan;hbg;10;9:00-18:00;(9:00-15:00);;10;;9577;4078;aktiv;"{""type"": ""Point"", ""coordinates"": [12.699534087040966, 56.045001833694606]}";56.0450018337,12.699534087
Prästgatan;hbg;7;9:00-18:00;(9:00-15:00);;10;;9566;4067;aktiv;"{""type"": ""Point"", ""coordinates"": [12.698536232130513, 56.04462432641703]}";56.0446243264,12.6985362321
S:t Nicolai;hbg;180;9:00-18:00;(9:00-15:00);;5;;9557;4058;aktiv;"{""type"": ""Point"", ""coordinates"": [12.69932639269756, 56.047175186118615]}";56.0471751861,12.6993263927
Carl Krooks gata;hbg;14;9:00-18:00;(9:00-15:00);;10;;9515;4015;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701415546738257, 56.038693570202774]}";56.0386935702,12.7014155467
Wetterlingsgatan;hbg;11;9:00-18:00;(9:00-15:00);;10;;9585;4086;aktiv;"{""type"": ""Point"", ""coordinates"": [12.702066071851833, 56.039167212045726]}";56.039167212,12.7020660719
