KATEGORI;NAMN;ADRESS;HEMSIDA;Kategori webb;Exportdatum;geo_shape;geo_point_2d
Caféer;Espresso House Kungstorget;Kungstorget 8;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.693987120681944, 56.04446574801523]}";56.044465748,12.6939871207
Caféer;Framtid;Grustagsgatan 2;http://www.framtid-hbg.se/;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.748034566464494, 56.067072331335154]}";56.0670723313,12.7480345665
Caféer;Gröningens Strandkiosk;Gröningen Norra 7;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.682575238651618, 56.05526943658589]}";56.0552694366,12.6825752387
Caféer;Kafeteria;Hortensiagatan 8;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.759383825472296, 56.029805681373674]}";56.0298056814,12.7593838255
Caféer;Kattarps Församlingshem;Östrabyvägen 10;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.790731761345466, 56.14273255126932]}";56.1427325513,12.7907317613
Caféer;Mörarps Församlingshem;Brandmansgatan 3;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.877857608142937, 56.05868797169716]}";56.0586879717,12.8778576081
Caféer;Naked Juicebar Väla;Marknadsvägen 9;https://www.nakedjuicebar.se/;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.75681637540675, 56.09205529999136]}";56.0920553,12.7568163754
Caféer;Nordic Wellness Lilla Garnisonsgatan;Lilla Garnisonsgatan 37;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.73131546322072, 56.07940091855093]}";56.0794009186,12.7313154632
Caféer;Nordic Wellness Ramlösa Hortensiagatan;Hortensiagatan 8;;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.759383825472296, 56.029805681373674]}";56.0298056814,12.7593838255
Caféer;Pålsjöpaviljongen;Dag Hammarskjölds Väg 2;http://paviljongen.com/;Caféer;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.67995329538771, 56.06456395957941]}";56.0645639596,12.6799532954
Personalrestauranger;Frimurarhuset Hbg;Stortorget 4;;Personalrestauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.69399663970535, 56.04625661005654]}";56.0462566101,12.6939966397
Personalrestauranger;Ikea Personalrestaurang, Köket;Sjögatan 1;;Personalrestauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.696722831369208, 56.03836191995737]}";56.03836192,12.6967228314
Personalrestauranger;Mcneils Personalmatsal;Norrbroplatsen 2;;Personalrestauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.703007164737498, 56.05562657514958]}";56.0556265751,12.7030071647
Personalrestauranger;Solanis Personalmatsal;Högastensgatan 18;;Personalrestauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.722829361041539, 56.00623012934139]}";56.0062301293,12.722829361
Restauranger;Bar & Café Markelius / Konserthuset;Roskildegatan 1;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.688965010691813, 56.0493799641949]}";56.0493799642,12.6889650107
Restauranger;Cajsas Catering;Kalmargatan 35;http://www.cajsascatering.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.729397360613186, 56.03882525732055]}";56.0388252573,12.7293973606
Restauranger;Dunker Bar & Matsalar;Kungsgatan 11;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.689057956603742, 56.047789975478416]}";56.0477899755,12.6890579566
Restauranger;Elinebergs Pizzeria;Elinebergsplatsen 5;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.72566539179882, 56.02842842311777]}";56.0284284231,12.7256653918
