OBJECTID;E-område;E-områdeskod (utan 0);D-område;C-område;C-områdeskod;B-område;B-områdeskod;SHAPE.STArea();SHAPE.STLength();geo_shape;geo_point_2d
195;023030;23030;02303;Kjällstorp;0230;Dalhem;023;9458.342895507812;408.34580979635984;"{""type"": ""Polygon"", ""coordinates"": [[[12.727456820147534, 56.06676902725269], [12.726935620583331, 56.06611316407271], [12.726408382104271, 56.06626185598712], [12.725625652319984, 56.066448081213146], [12.72519996164427, 56.06654935721996], [12.726434943260774, 56.0672091729291], [12.726961434212221, 56.067272171560674], [12.72710518068048, 56.06687588913617], [12.727456820147534, 56.06676902725269]]]}";56.0666853532,12.7264762512
1097;195102;195102;19510;Påarp tätort;1951;Påarp;195;140853.20635986328;1867.491888860607;"{""type"": ""Polygon"", ""coordinates"": [[[12.824348975003828, 56.02858274015499], [12.824399269387131, 56.028497870549394], [12.824494901615017, 56.02826518842737], [12.824569450121459, 56.02814229794876], [12.824622231629492, 56.02800384001416], [12.824649450883612, 56.02771919324653], [12.824615302116156, 56.02760954823453], [12.82440339016893, 56.027126357468745], [12.824234608359054, 56.026830703688326], [12.82399489314763, 56.0262679809315], [12.823862424379215, 56.02561343431166], [12.82139796712412, 56.02558973598728], [12.820897410979772, 56.02558491588906], [12.820703368093616, 56.025583048251555], [12.820620224089609, 56.02592538921958], [12.815722174004462, 56.025488221618865], [12.815451818486185, 56.02546408826649], [12.815474864117437, 56.02522940239849], [12.814826602531411, 56.02517298324376], [12.814695062925354, 56.02647344621603], [12.814638392045827, 56.02682521724383], [12.81628522029618, 56.0274378520914], [12.817184440756593, 56.0272473756619], [12.818309824464848, 56.02734564913065], [12.820541783901234, 56.027540522196766], [12.82042647562442, 56.028183953810675], [12.821569216790815, 56.02830182968962], [12.824348975003828, 56.02858274015499]]]}";56.0267774051,12.8201017082
199;023120;23120;02312;Silvåkragatan;0231;Dalhem;023;20018.93798828125;634.2409846531237;"{""type"": ""Polygon"", ""coordinates"": [[[12.731502342490858, 56.06888064978565], [12.731076908673979, 56.06922744585335], [12.730627100143204, 56.069721709358234], [12.730442413731245, 56.06999639962912], [12.731734622178756, 56.07029745354789], [12.73180553872866, 56.070192828682714], [12.73199775515906, 56.069953507700646], [12.732378450284246, 56.06953920339503], [12.7327356322808, 56.069241026948916], [12.7331999423144, 56.0689408025359], [12.733610810538657, 56.06872433888513], [12.73265365590466, 56.06816997916145], [12.732648963573867, 56.06817235704944], [12.732208580843752, 56.068393106760496], [12.731567435292458, 56.06882757882909], [12.731502342490858, 56.06888064978565]]]}";56.0692469912,12.7319644323
1098;195104;195104;19510;Påarp tätort;1951;Påarp;195;121552.2847290039;1863.2690354572978;"{""type"": ""Polygon"", ""coordinates"": [[[12.832701019125407, 56.03186020162587], [12.833070162706807, 56.03188973493572], [12.833258638470282, 56.031292161396955], [12.8332982334317, 56.03115658356435], [12.83351701245763, 56.03049159626701], [12.83158535735162, 56.03044290313093], [12.828350959292607, 56.03034408216253], [12.828220952306816, 56.02945954608917], [12.828352142814142, 56.028838181867734], [12.825990341819594, 56.028769372873164], [12.825933215690913, 56.02876773150841], [12.824310783021646, 56.02872046952921], [12.824279815924818, 56.02884401169635], [12.824084342155963, 56.02927257302544], [12.824013123779833, 56.029485557328705], [12.823973398128187, 56.02972248828942], [12.823788241234295, 56.03018823533122], [12.823237871992658, 56.03089060989116], [12.823753456307108, 56.03114840484915], [12.824093713177351, 56.031245859851765], [12.824807287035387, 56.031359934468945], [12.825354802931294, 56.031481261269185], [12.825948556442066, 56.03162684229674], [12.826732473702865, 56.03186207012328], [12.82717732083001, 56.0314163899467], [12.827565692547958, 56.03103244483838], [12.827577813917301, 56.03103857164182], [12.829088187308056, 56.03135419599633], [12.829418846474475, 56.031368531817456], [12.829847665161218, 56.03138711830829], [12.830543993030219, 56.03150427241858], [12.831089327285445, 56.03159984773914], [12.832701019125407, 56.03186020162587]]]}";56.0304245133,12.8276508919
200;023130;23130;02313;Silvåkragatan;0231;Dalhem;023;38357.90789794922;913.7050991744242;"{""type"": ""Polygon"", ""coordinates"": [[[12.728957063114308, 56.07136933107537], [12.729429923823817, 56.07105513420186], [12.729710981328212, 56.070869173812966], [12.729943023650268, 56.070667054605686], [12.730135080962125, 56.07045349459488], [12.730442413731245, 56.06999639962912], [12.729466264920037, 56.06983086999245], [12.727025280445323, 56.069267689772694], [12.726577943737704, 56.07011035502078], [12.727179770584165, 56.07043130415465], [12.726572116088049, 56.07143920421194], [12.726821555161603, 56.071610258527386], [12.72699528703821, 56.07172876235202], [12.727210703945712, 56.07187570470438], [12.728289694943772, 56.07101570674338], [12.728957063114308, 56.07136933107537]]]}";56.0704563858,12.7282103962
1100;195111;195111;19511;Påarp tätort;1951;Påarp;195;82413.19665527344;1736.1026240962146;"{""type"": ""Polygon"", ""coordinates"": [[[12.809325747606007, 56.028440364026075], [12.809845217969286, 56.028480813907876], [12.809915586010536, 56.02848629108256], [12.810302526074812, 56.028516297594024], [12.810666671331445, 56.02854466662997], [12.811032016967786, 56.028573481388726], [12.811399828684962, 56.02860192262107], [12.812082746786501, 56.028654753638925], [12.812448134934725, 56.02868318720902], [12.812814072942496, 56.02871166766557], [12.813179499211724, 56.02873991066583], [12.813526410822787, 56.028766729278175], [12.814208377586596, 56.02882016294409], [12.814246956842092, 56.02860806252964], [12.814323250758159, 56.02826804091302], [12.81198723713858, 56.02747100932961], [12.810884737978625, 56.027090954026676], [12.81036577952214, 56.026922003232755], [12.809754901098776, 56.02674388675727], [12.80940451128915, 56.026648823079576], [12.809063561331538, 56.02655631712198], [12.80842587836242, 56.02638569618517], [12.807815906274037, 56.02623767232076], [12.807376749055448, 56.026136904455484], [12.806427771664215, 56.02594128080807], [12.805699259202717, 56.02580642951214], [12.805325491953425, 56.02574505615056], [12.804988899385593, 56.025693007367245], [12.804589770412411, 56.02563380613223], [12.804080511714334, 56.02556465955711], [12.803829219166241, 56.02553333317972], [12.803821729541326, 56.02590899861163], [12.803908222080063, 56.0267335987223], [12.80394150752618, 56.027119167280766], [12.805639838905574, 56.026925637465446], [12.806703263401573, 56.02695602988885], [12.808196863712917, 56.02722919946527], [12.809371497058828, 56.02739964002461], [12.809325747606007, 56.028440364026075]]]}";56.0272288096,12.8088579637
201;023140;23140;02314;Silvåkragatan;0231;Dalhem;023;41328.132873535156;1020.1653772296081;"{""type"": ""Polygon"", ""coordinates"": [[[12.730588890855016, 56.071595669591375], [12.730981735434614, 56.07125398032144], [12.731334744468048, 56.070887342507454], [12.731734622178756, 56.07029745354789], [12.730442413731245, 56.06999639962912], [12.730135080962125, 56.07045349459488], [12.729943023650268, 56.070667054605686], [12.729710981328212, 56.070869173812966], [12.729429923823817, 56.07105513420186], [12.728957063114308, 56.07136933107537], [12.728289694943772, 56.07101570674338], [12.727210703945712, 56.07187570470438], [12.727696361957415, 56.07220698104479], [12.728652112268184, 56.07285890062972], [12.72906081060661, 56.07313766226728], [12.730533296622239, 56.072241768349706], [12.730014541353361, 56.071957116750774], [12.730588890855016, 56.071595669591375]]]}";56.0715955227,12.7294950763
1102;195113;195113;19511;Påarp tätort;1951;Påarp;195;119976.0532836914;1833.4597843504416;"{""type"": ""Polygon"", ""coordinates"": [[[12.812839407377808, 56.03672653528421], [12.812016637693462, 56.03662950352304], [12.813061594372055, 56.03513156415851], [12.813312556617342, 56.03374572599645], [12.813435873982579, 56.033067766822285], [12.812796257638379, 56.03302910615255], [12.8126543620488, 56.03301147536276], [12.811458310541974, 56.03293896286147], [12.811171213908938, 56.03292151693069], [12.810854310397808, 56.032902287172256], [12.810859004682158, 56.032758114668276], [12.809155843860447, 56.0327405426152], [12.809143277804866, 56.03307988492527], [12.809025215338089, 56.036270788799264], [12.810369625474133, 56.036432442376885], [12.810224030179242, 56.036712714861814], [12.809954541437696, 56.03723145483366], [12.809699162982366, 56.03772300518001], [12.809616238066475, 56.03788263718463], [12.809285749541331, 56.038240992288415], [12.80927093659068, 56.03831588725989], [12.809329123022032, 56.03853648521137], [12.809939300114095, 56.03844297030416], [12.810394646130666, 56.03855774924272], [12.810833020210946, 56.03801157910124], [12.811218807113878, 56.03753145150421], [12.811580255977105, 56.03708153553051], [12.812759190160959, 56.03705802824231], [12.812839407377808, 56.03672653528421]]]}";56.0351179139,12.8109892855
205;023210;23210;02321;Annerovägen;0232;Dalhem;023;26684.25360107422;652.3481791506804;"{""type"": ""Polygon"", ""coordinates"": [[[12.73461771094489, 56.067176193598115], [12.734619530003314, 56.06717522498939], [12.732906677058754, 56.06612764619484], [12.730872234204249, 56.06716973597579], [12.732120014829778, 56.06789738482364], [12.73239883525019, 56.06802538160516], [12.73265365590466, 56.06816997916145], [12.73461771094489, 56.067176193598115]]]}";56.0671595028,12.732753187
1108;195124;195124;19512;Påarp tätort;1951;Påarp;195;93039.63049316406;1279.0394670367798;"{""type"": ""Polygon"", ""coordinates"": [[[12.818304912295227, 56.035041674701034], [12.818251195688994, 56.035185289090236], [12.81746728003049, 56.037281404331125], [12.819663768743998, 56.03754383197392], [12.82217313496398, 56.03785935880418], [12.822522333118515, 56.03793127860638], [12.823319001342307, 56.038077019385206], [12.823139435948482, 56.036773380222776], [12.823607180006634, 56.03602556510698], [12.823690484338083, 56.03565125829915], [12.822552332021559, 56.03557188700052], [12.822614010631522, 56.03529466927529], [12.81868950079751, 56.03506426782434], [12.818304912295227, 56.035041674701034]]]}";56.0364594876,12.8206459022
206;023220;23220;02322;Annerovägen;0232;Dalhem;023;36648.433532714844;790.7281481518731;"{""type"": ""Polygon"", ""coordinates"": [[[12.737022509906858, 56.06592859778815], [12.737001367488565, 56.065830846599425], [12.736161169296295, 56.06478202957096], [12.736159222338935, 56.06477916228646], [12.735999169728055, 56.06454364447387], [12.732906677058754, 56.06612764619484], [12.734619530003314, 56.06717522498939], [12.7355059339983, 56.066703492850216], [12.737022509906858, 56.06592859778815]]]}";56.0659173037,12.7351119361
1110;195126;195126;19512;Påarp tätort;1951;Påarp;195;33375.75549316406;749.1881413010273;"{""type"": ""Polygon"", ""coordinates"": [[[12.822848816154861, 56.03386372658265], [12.825999944569887, 56.034111661843184], [12.826611277404236, 56.032852716995045], [12.824830877511832, 56.03224505041546], [12.824311639327163, 56.032721983710566], [12.823076371901957, 56.03264949484746], [12.823036803850346, 56.03286067620933], [12.822848816154861, 56.03386372658265]]]}";56.0332685099,12.824725821
208;023310;23310;02331;Dalhemsvägen;0233;Dalhem;023;42135.93444824219;904.8465977769083;"{""type"": ""Polygon"", ""coordinates"": [[[12.740181515379104, 56.06412080421932], [12.735021094243406, 56.06310440866291], [12.735999169728055, 56.06454364447387], [12.736159222338935, 56.06477916228646], [12.739364484896662, 56.065414244406384], [12.740181515379104, 56.06412080421932]]]}";56.0642970518,12.7376764415
1113;195211;195211;19521;Påarp glesbygd;1952;Påarp;195;462377.8000488281;3734.8991413268595;"{""type"": ""Polygon"", ""coordinates"": [[[12.785763824746653, 56.031690968028514], [12.785794977894163, 56.03186116940613], [12.785848931287775, 56.032227255957324], [12.785936398377132, 56.03282453327425], [12.78691074378773, 56.03286150503419], [12.78777205287346, 56.03362428131196], [12.788290157414249, 56.03397414782891], [12.789080214271966, 56.03537709536182], [12.789938151250729, 56.036858558534554], [12.791444225237608, 56.036525315418025], [12.79161090367845, 56.03648947502012], [12.79087259671663, 56.0357638894414], [12.790556880316744, 56.03543502914146], [12.791143580180862, 56.03529307953188], [12.791063284327038, 56.03503610493888], [12.791051023962938, 56.034991423099626], [12.7909821631856, 56.034772838446976], [12.790851113731112, 56.034221434975954], [12.790711162214219, 56.03347842142904], [12.790632184982979, 56.0328868100832], [12.79057690839443, 56.032134861339046], [12.790570107433807, 56.03171983814302], [12.790575899951664, 56.03131655438089], [12.790615440040726, 56.030766876534884], [12.790679032767196, 56.03016570190244], [12.790742592604104, 56.029777479905896], [12.790853726473324, 56.029233234108695], [12.791032689338966, 56.02852105442994], [12.791056860149885, 56.02844033227953], [12.791203601929567, 56.0279885852705], [12.791377400862249, 56.02750501909568], [12.791610875262089, 56.026964528836196], [12.792068694496047, 56.02589186534738], [12.792512441354157, 56.02491552753411], [12.79275603567784, 56.02431171006697], [12.79242987503084, 56.02427681457502], [12.792004432886229, 56.02422502897332], [12.789336442232962, 56.023932445488796], [12.78843710756786, 56.02383388906812], [12.787612621508199, 56.023741488561626], [12.787175425773498, 56.02369399241789], [12.786788464235707, 56.0236517339968], [12.785764370810401, 56.02354143428664], [12.785122423915157, 56.02347080326431], [12.784299721886018, 56.02338102250184], [12.784106325163672, 56.02335988940983], [12.783503323383608, 56.02329429006102], [12.78383838265116, 56.024216901311654], [12.78412133922686, 56.02507121860208], [12.784390640594328, 56.025930270004686], [12.784652974995332, 56.02683963995045], [12.784758006387994, 56.0272250284926], [12.784830223084406, 56.02748540080382], [12.784962955767076, 56.027993449354476], [12.785070277216011, 56.028410349182], [12.785232234912906, 56.0290964197473], [12.785439264821187, 56.030017996305716], [12.785439397114038, 56.030018562910755], [12.78547951775781, 56.03017563141659], [12.78562452198006, 56.03090825330242], [12.785677361855731, 56.03119211628606], [12.785763824746653, 56.031690968028514]]]}";56.0286595551,12.7882652189
210;023330;23330;02333;Dalhemsvägen;0233;Dalhem;023;32850.87860107422;722.3733601389526;"{""type"": ""Polygon"", ""coordinates"": [[[12.742832739714773, 56.064638077392075], [12.743410656607972, 56.06386442942023], [12.74401101147709, 56.06324346781109], [12.74392504113402, 56.06321597862932], [12.743412134968684, 56.06306656230294], [12.743092024851233, 56.06298057736], [12.74270545129026, 56.06288472625695], [12.742458555436151, 56.062826995711326], [12.742027602591675, 56.0627303761141], [12.741719072262706, 56.06266816101617], [12.741536595421266, 56.0626340865643], [12.741156771282716, 56.062576758017634], [12.740181515379104, 56.06412080421932], [12.742832739714773, 56.064638077392075]]]}";56.0636095997,12.7420362871
1119;195220;195220;19522;Påarp glesbygd;1952;Påarp;195;602208.63671875;3304.1528759388584;"{""type"": ""Polygon"", ""coordinates"": [[[12.79448752595413, 56.017016432927825], [12.794572339193808, 56.014033846923205], [12.79438889620395, 56.014044527638], [12.793447901787523, 56.01416414687091], [12.792593087998064, 56.01434598365406], [12.791836242135846, 56.01455785457942], [12.790731229195956, 56.01491084098507], [12.789482340844122, 56.015311013425546], [12.789481319526324, 56.01561871669852], [12.789435861486053, 56.015669308589885], [12.789425536506958, 56.01567946117655], [12.788921443033493, 56.01617521397201], [12.788693854551619, 56.01637198170761], [12.788361374581891, 56.0166311318017], [12.788215377854513, 56.016695531687276], [12.787967824720274, 56.01679089754343], [12.78783157408561, 56.01685984402642], [12.787513867888498, 56.01691338086302], [12.787252550624638, 56.01702736545079], [12.786977232954818, 56.017217953343085], [12.786760455549613, 56.01741862413763], [12.786591600028096, 56.0175077150424], [12.786329408161922, 56.01770571536085], [12.786204881142712, 56.017841694584256], [12.786204714286727, 56.01784187325047], [12.786039092612354, 56.01794429282492], [12.785284139526043, 56.018149739824366], [12.785116906775226, 56.01815930618056], [12.784945330671786, 56.01814036652419], [12.783650385855566, 56.01802739158559], [12.783471093265817, 56.01801589570678], [12.782767166979495, 56.01807455023309], [12.781758996743717, 56.018547528679804], [12.78178237013657, 56.01863368143339], [12.782172705571387, 56.01993519381123], [12.782595434193128, 56.02096396062505], [12.782896830379245, 56.02174405699035], [12.783090422115352, 56.022235450805525], [12.783484481195345, 56.0232423928372], [12.783503323383608, 56.02329429006102], [12.784106325163672, 56.02335988940983], [12.784299721886018, 56.02338102250184], [12.785122423915157, 56.02347080326431], [12.785764370810401, 56.02354143428664], [12.786788464235707, 56.0236517339968], [12.787175425773498, 56.02369399241789], [12.787612621508199, 56.023741488561626], [12.78843710756786, 56.02383388906812], [12.789336442232962, 56.023932445488796], [12.792004432886229, 56.02422502897332], [12.79242987503084, 56.02427681457502], [12.79275603567784, 56.02431171006697], [12.792784685564078, 56.024256808293906], [12.793469384042774, 56.022675609756476], [12.793716006862523, 56.022087103232266], [12.793901508949414, 56.02157346704424], [12.794057998728452, 56.02105474262652], [12.794059712516466, 56.02104905811506], [12.794064884214988, 56.02103192391991], [12.794319605341402, 56.019885086821546], [12.794430755517979, 56.01879061683958], [12.794433775466656, 56.01867722372409], [12.7944586862697, 56.01802586044115], [12.794474768071902, 56.01767992808874], [12.794475938316877, 56.017618815131385], [12.79448752595413, 56.017016432927825]]]}";56.0197164749,12.7891623609
211;023340;23340;02334;Dalhemsvägen;0233;Dalhem;023;27027.93017578125;662.0492177099096;"{""type"": ""Polygon"", ""coordinates"": [[[12.739364484896662, 56.065414244406384], [12.742097000474818, 56.06595604158492], [12.742105758368382, 56.06593928189609], [12.742372619538857, 56.065395470563566], [12.742706681837236, 56.0648258807282], [12.742832739714773, 56.064638077392075], [12.740181515379104, 56.06412080421932], [12.739364484896662, 56.065414244406384]]]}";56.0650342889,12.7411081546
1120;195221;195221;19522;Påarp glesbygd;1952;Påarp;195;133397.35498046875;1789.3988727621208;"{""type"": ""Polygon"", ""coordinates"": [[[12.798218833411289, 56.021807741675154], [12.798328964337589, 56.02002756484909], [12.798714352832308, 56.02001947243274], [12.798748094272762, 56.01961791845761], [12.798776495142972, 56.01927998650917], [12.798803657883202, 56.01894300852806], [12.800374763833572, 56.019043451288304], [12.80031313770269, 56.018298735843324], [12.798862702282722, 56.01820995360567], [12.797850247710953, 56.01814797017788], [12.797072940757833, 56.018084354682514], [12.796319860785847, 56.0180360962587], [12.79514293161884, 56.01801716197064], [12.794819912059197, 56.017759879705764], [12.794475938316877, 56.017618815131385], [12.794474768071902, 56.01767992808874], [12.7944586862697, 56.01802586044115], [12.794433775466656, 56.01867722372409], [12.794430755517979, 56.01879061683958], [12.794319605341402, 56.019885086821546], [12.794064884214988, 56.02103192391991], [12.794059712516466, 56.02104905811506], [12.794057998728452, 56.02105474262652], [12.793901508949414, 56.02157346704424], [12.793716006862523, 56.022087103232266], [12.793469384042774, 56.022675609756476], [12.795732144713831, 56.02226243551075], [12.798218833411289, 56.021807741675154]]]}";56.0200510822,12.796429804
212;023350;23350;02335;Dalhemsvägen;0233;Dalhem;023;27641.9677734375;667.1074897262365;"{""type"": ""Polygon"", ""coordinates"": [[[12.739364484896662, 56.065414244406384], [12.73857083272777, 56.06667045107481], [12.740000760562545, 56.06695390093528], [12.7401868827553, 56.067034129246316], [12.741345557244898, 56.06725996540651], [12.741354110630501, 56.06724800964385], [12.741697072660504, 56.06672016965093], [12.742097000474818, 56.06595604158492], [12.739364484896662, 56.065414244406384]]]}";56.0663313691,12.7403620026
1121;195222;195222;19522;Påarp glesbygd;1952;Påarp;195;693923.305480957;4653.579375429432;"{""type"": ""Polygon"", ""coordinates"": [[[12.808262299711831, 56.014616844192645], [12.808196475668245, 56.01462660625669], [12.801528602386249, 56.01582633194623], [12.797852135778426, 56.01648768237254], [12.79618179424147, 56.01675019733057], [12.79448752595413, 56.017016432927825], [12.794475938316877, 56.017618815131385], [12.794819912059197, 56.017759879705764], [12.79514293161884, 56.01801716197064], [12.796319860785847, 56.0180360962587], [12.797072940757833, 56.018084354682514], [12.797850247710953, 56.01814797017788], [12.798862702282722, 56.01820995360567], [12.80031313770269, 56.018298735843324], [12.800374763833572, 56.019043451288304], [12.798803657883202, 56.01894300852806], [12.798776495142972, 56.01927998650917], [12.798748094272762, 56.01961791845761], [12.798714352832308, 56.02001947243274], [12.798328964337589, 56.02002756484909], [12.798218833411289, 56.021807741675154], [12.799454274465793, 56.021570509787146], [12.801342442839236, 56.02220108072802], [12.80194075154526, 56.022403939367855], [12.801940849038289, 56.02240395788264], [12.802077879134377, 56.02245018890677], [12.80681870277969, 56.024024935824364], [12.807546334320408, 56.02426667423279], [12.808229174384344, 56.02449261007737], [12.808728362172094, 56.02465826183836], [12.80967222561917, 56.024970752219886], [12.81037822492877, 56.025207260188715], [12.81046238976435, 56.0252352321615], [12.81113355654919, 56.02546571204735], [12.811468025405741, 56.02557948937628], [12.81149411422642, 56.025589101536255], [12.811098039268522, 56.02370937665292], [12.81059730184392, 56.021329797861064], [12.810025399425314, 56.0186118235841], [12.813176525963609, 56.01854649065926], [12.81305222885338, 56.01758252559596], [12.810768955070472, 56.01762984007766], [12.81092943608284, 56.01624740434887], [12.809936975814876, 56.01625836446072], [12.809518250272442, 56.01627523290192], [12.807376659844172, 56.01642975392106], [12.807879363930894, 56.01604506561094], [12.808103079068879, 56.01575684456437], [12.808262299711831, 56.014616844192645]]]}";56.0194836711,12.8049719278
213;023360;23360;02336;Dalhemsvägen;0233;Dalhem;023;30285.50341796875;744.7136841227043;"{""type"": ""Polygon"", ""coordinates"": [[[12.741345557244898, 56.06725996540651], [12.7401868827553, 56.067034129246316], [12.740000760562545, 56.06695390093528], [12.73857083272777, 56.06667045107481], [12.73806255862799, 56.06747471134337], [12.738838919476251, 56.06764062991991], [12.738518247504183, 56.06813043695189], [12.738676757737325, 56.0683111534027], [12.739056965445139, 56.06874461200715], [12.740186534010665, 56.06896603204239], [12.740205801501576, 56.06895813819581], [12.740345659432926, 56.068787352591244], [12.740759784470098, 56.068078939040056], [12.741345557244898, 56.06725996540651]]]}";56.0677575582,12.7396550911
1122;195223;195223;19522;Påarp glesbygd;1952;Påarp;195;854333.2962036133;4748.549553642018;"{""type"": ""Polygon"", ""coordinates"": [[[12.814695062925354, 56.02647344621603], [12.814826602531411, 56.02517298324376], [12.815474864117437, 56.02522940239849], [12.815451818486185, 56.02546408826649], [12.815722174004462, 56.025488221618865], [12.820620224089609, 56.02592538921958], [12.820703368093616, 56.025583048251555], [12.820897410979772, 56.02558491588906], [12.821055918738365, 56.024785271734146], [12.82112865123072, 56.02437929273616], [12.821131516221286, 56.02435320811393], [12.82115687343861, 56.02414528102881], [12.821056852168718, 56.02350610633712], [12.821052233159385, 56.02343290820808], [12.821044828220526, 56.02338905993186], [12.82073821232233, 56.02158843413189], [12.821117726350971, 56.02154528313311], [12.82073870254853, 56.020225252119914], [12.820432334547354, 56.01897701876537], [12.820445422367284, 56.01823170760865], [12.820534156795093, 56.01772533458913], [12.820650799835438, 56.017144582581075], [12.820666760614698, 56.0162353052308], [12.820518349813344, 56.01559345923415], [12.819113682325785, 56.01444868425335], [12.818571204003703, 56.01416636187021], [12.818384726648041, 56.01403614069042], [12.818177369133283, 56.01395374741931], [12.818157186412906, 56.013943342979225], [12.818079690666043, 56.01390339567899], [12.817897951247755, 56.013782073731846], [12.817815172796672, 56.01367809439007], [12.817544166380642, 56.01348714704656], [12.817332148794481, 56.013386790355305], [12.816833391444131, 56.01317900669381], [12.816287517203817, 56.01319299324782], [12.8147017694471, 56.013232882448975], [12.814557366436288, 56.013237666628726], [12.81105358912439, 56.01401871008809], [12.80832764419228, 56.01460717820183], [12.808262299711831, 56.014616844192645], [12.808103079068879, 56.01575684456437], [12.807879363930894, 56.01604506561094], [12.807376659844172, 56.01642975392106], [12.809518250272442, 56.01627523290192], [12.809936975814876, 56.01625836446072], [12.81092943608284, 56.01624740434887], [12.810768955070472, 56.01762984007766], [12.81305222885338, 56.01758252559596], [12.813176525963609, 56.01854649065926], [12.810025399425314, 56.0186118235841], [12.81059730184392, 56.021329797861064], [12.811098039268522, 56.02370937665292], [12.81149411422642, 56.025589101536255], [12.811511085534573, 56.02559535759641], [12.811557783515598, 56.025613733992785], [12.812742846767042, 56.02607972988055], [12.813070949087502, 56.02620874497962], [12.813625779748033, 56.02642692326785], [12.813954827481721, 56.02655631847608], [12.814638392045827, 56.02682521724383], [12.814695062925354, 56.02647344621603]]]}";56.0196550835,12.8154730709
214;023400;23400;02340;Dalhems centrum;0234;Dalhem;023;64877.355041503906;1227.2956702469842;"{""type"": ""Polygon"", ""coordinates"": [[[12.738676757737325, 56.0683111534027], [12.738518247504183, 56.06813043695189], [12.738838919476251, 56.06764062991991], [12.73806255862799, 56.06747471134337], [12.73857083272777, 56.06667045107481], [12.73711783129165, 56.06636952553561], [12.737022509906858, 56.06592859778815], [12.7355059339983, 56.066703492850216], [12.734619530003314, 56.06717522498939], [12.73461771094489, 56.067176193598115], [12.73265365590466, 56.06816997916145], [12.733610810538657, 56.06872433888513], [12.733816001129028, 56.06861623527097], [12.734389821995814, 56.06835246856636], [12.734983361510155, 56.0681510545873], [12.735740464202026, 56.06890931432822], [12.736450098210574, 56.068699235270486], [12.738676757737325, 56.0683111534027]]]}";56.0676163198,12.7361701284
1123;195224;195224;19522;Påarp glesbygd;1952;Påarp;195;561912.4866943359;4084.8949974364677;"{""type"": ""Polygon"", ""coordinates"": [[[12.821142477721462, 56.02154262607676], [12.822536215835328, 56.021393299246355], [12.824029841459122, 56.02122234658254], [12.825328791798212, 56.02107878286162], [12.82686036256057, 56.020914919302506], [12.828261526438284, 56.0207588681856], [12.829444559694942, 56.020625461702714], [12.829544813868193, 56.02061394438982], [12.827573038744683, 56.01739588120911], [12.827971765807344, 56.017375501382226], [12.831763562015846, 56.017181072966785], [12.832761111035506, 56.017101040272614], [12.832688292717128, 56.01692473365814], [12.832646405626804, 56.01674781294129], [12.832566503507715, 56.01656402220882], [12.832510254605053, 56.01640228338598], [12.832466013749071, 56.016262156265014], [12.832387187628681, 56.01602083537525], [12.8323428774691, 56.01591089483251], [12.832426593841838, 56.015492088894035], [12.8325160159554, 56.01488476392718], [12.834882887112105, 56.01451821290021], [12.83515044609923, 56.01377000072881], [12.835151558827318, 56.013766827255246], [12.835473034389857, 56.01282684329001], [12.83256167932951, 56.01166952296214], [12.832051581245054, 56.01146672435901], [12.83199508800362, 56.011398751329544], [12.831095152276696, 56.01256511486155], [12.830836864143922, 56.012978724912365], [12.830674973683882, 56.01350996809439], [12.830051821015973, 56.014171894202846], [12.824709025770595, 56.01406906660996], [12.824706922814912, 56.01406902815243], [12.824590032419914, 56.01406827140756], [12.82426759690732, 56.01406258951048], [12.821277936479087, 56.01400177054164], [12.820665541270303, 56.01399173504626], [12.820665547710156, 56.01399182489738], [12.820234015338745, 56.01398348376891], [12.818157186412906, 56.013943342979225], [12.818177369133283, 56.01395374741931], [12.818384726648041, 56.01403614069042], [12.818571204003703, 56.01416636187021], [12.819113682325785, 56.01444868425335], [12.820518349813344, 56.01559345923415], [12.820666760614698, 56.0162353052308], [12.820650799835438, 56.017144582581075], [12.820534156795093, 56.01772533458913], [12.820445422367284, 56.01823170760865], [12.820432334547354, 56.01897701876537], [12.82073870254853, 56.020225252119914], [12.821117726350971, 56.02154528313311], [12.821142477721462, 56.02154262607676]]]}";56.0166942918,12.8264259715
