OBJECTID;E-område;E-områdeskod (utan 0);D-område;C-område;C-områdeskod;B-område;B-områdeskod;SHAPE.STArea();SHAPE.STLength();geo_shape;geo_point_2d
52;002140;2140;00214;Pilvångsplatsen;0021;Tågaborg N;002;7462.8341064453125;348.4111058006197;"{""type"": ""Polygon"", ""coordinates"": [[[12.686276814790439, 56.06176700288365], [12.685825232670423, 56.06240450293482], [12.68637941918775, 56.062528160319246], [12.687614316597829, 56.062602281907004], [12.687777239248897, 56.06209815713369], [12.686276814790439, 56.06176700288365]]]}";56.0622326357,12.6868189291
54;002160;2160;00216;Pilvångsplatsen;0021;Tågaborg N;002;12892.460266113281;503.78389809325836;"{""type"": ""Polygon"", ""coordinates"": [[[12.686622889247435, 56.06127380491263], [12.687998279498434, 56.06141431542952], [12.68797086618654, 56.061499110000106], [12.689173163364657, 56.061628489951296], [12.689410816773215, 56.06092484269166], [12.689515536512758, 56.06089069073928], [12.688419737402361, 56.06078127985914], [12.686831049152762, 56.06062262719285], [12.68663489765045, 56.06123626909903], [12.686622889247435, 56.06127380491263]]]}";56.0611046861,12.6880579758
60;002230;2230;00223;Pilvångsgatan;0022;Tågaborg N;002;10374.747863769531;432.6640108115165;"{""type"": ""Polygon"", ""coordinates"": [[[12.689077022284982, 56.061918395100186], [12.688655031393752, 56.06318988613252], [12.688660043233693, 56.06318990111258], [12.689806144693797, 56.06314547066379], [12.689924104748826, 56.06313760457707], [12.690205667567284, 56.062283020996595], [12.690410548246739, 56.06205799281121], [12.689079543711905, 56.06191865416861], [12.689077022284982, 56.061918395100186]]]}";56.0625685909,12.6894780144
63;002310;2310;00231;Skogstorpsgatan;0023;Tågaborg N;002;12743.871887207031;490.1260670556614;"{""type"": ""Polygon"", ""coordinates"": [[[12.69207628624081, 56.06021173746549], [12.69090311571928, 56.06151699169879], [12.691919821902456, 56.061920378150326], [12.692166325764216, 56.06162249141749], [12.693158746671825, 56.060517195776455], [12.69207628624081, 56.06021173746549]]]}";56.0610434219,12.6920163804
66;002340;2340;00234;Skogstorpsgatan;0023;Tågaborg N;002;7107.875915527344;349.5469083963933;"{""type"": ""Polygon"", ""coordinates"": [[[12.690278079662102, 56.05970425940045], [12.691200980303183, 56.05996471424276], [12.691995532499837, 56.05907719216793], [12.69107047714776, 56.058819127139024], [12.69052021934791, 56.05943377703256], [12.690278079662102, 56.05970425940045]]]}";56.0593913805,12.6911364752
67;002350;2350;00235;Skogstorpsgatan;0023;Tågaborg N;002;10592.892944335938;472.8559382963684;"{""type"": ""Polygon"", ""coordinates"": [[[12.693033756216222, 56.058219559393564], [12.692717080394829, 56.05771133041918], [12.692486614052317, 56.0573414513831], [12.692276614672345, 56.057477334100824], [12.692083743577752, 56.05768719327665], [12.691224549432073, 56.0586470074856], [12.69107047714776, 56.058819127139024], [12.691995532499837, 56.05907719216793], [12.69240272961969, 56.05862233449133], [12.692567938780627, 56.05844721434239], [12.692712269204804, 56.05834268751519], [12.693033756216222, 56.058219559393564]]]}";56.0582918633,12.6921085493
70;002380;2380;00238;Skogstorpsgatan;0023;Tågaborg N;002;11725.828369140625;477.37528094454683;"{""type"": ""Polygon"", ""coordinates"": [[[12.693376349151743, 56.05876514966429], [12.692875323576992, 56.059322649431145], [12.69207628624081, 56.06021173746549], [12.693158746671825, 56.060517195776455], [12.694107925362985, 56.059460002677255], [12.693630526123552, 56.05902725891552], [12.693583178793116, 56.058978430982194], [12.693376349151743, 56.05876514966429]]]}";56.0597284994,12.6931537623
75;002430;2430;00243;Wrangelsgatan;0024;Tågaborg N;002;9685.458679199219;435.93424493144926;"{""type"": ""Polygon"", ""coordinates"": [[[12.689339741982943, 56.05625985241196], [12.69040013815591, 56.0565893511769], [12.691399203572418, 56.0568997841676], [12.691673625024812, 56.05658515983741], [12.690051925371632, 56.055515578952374], [12.689955717902357, 56.05561613433116], [12.689339741982943, 56.05625985241196]]]}";56.0562562869,12.6904875562
77;002450;2450;00245;Wrangelsgatan;0024;Tågaborg N;002;14151.056762695312;516.6780049152641;"{""type"": ""Polygon"", ""coordinates"": [[[12.689068541710194, 56.05806032864565], [12.69040013815591, 56.0565893511769], [12.689339741982943, 56.05625985241196], [12.68881467259001, 56.05680856472382], [12.688292308027565, 56.057354418482056], [12.68807363576968, 56.05778959396076], [12.689068541710194, 56.05806032864565]]]}";56.057161452,12.6891934779
78;002460;2460;00246;Wrangelsgatan;0024;Tågaborg N;002;6392.482238769531;337.9644088215943;"{""type"": ""Polygon"", ""coordinates"": [[[12.687895797643083, 56.05814347577353], [12.687573617298336, 56.05878461799372], [12.687584461703302, 56.05878655754782], [12.688294323387767, 56.05891553334466], [12.689068541710194, 56.05806032864565], [12.68807363576968, 56.05778959396076], [12.687895797643083, 56.05814347577353]]]}";56.0583576606,12.6882672487
79;002470;2470;00247;Wrangelsgatan;0024;Tågaborg N;002;7359.954345703125;348.9851707259311;"{""type"": ""Polygon"", ""coordinates"": [[[12.690111199864795, 56.05834405960094], [12.689068541710194, 56.05806032864565], [12.688294323387767, 56.05891553334466], [12.689415279122239, 56.05911917509377], [12.690107377682912, 56.05834835467136], [12.690111199864795, 56.05834405960094]]]}";56.0586080678,12.6892130752
82;002510;2510;00251;Nicandersgatan;0025;Tågaborg N;002;6116.508728027344;348.72140523393296;"{""type"": ""Polygon"", ""coordinates"": [[[12.686840300951342, 56.05865383089363], [12.686103597666278, 56.05852243327728], [12.685491361777983, 56.059624569035364], [12.686275011928588, 56.059706395904854], [12.686840300951342, 56.05865383089363]]]}";56.0591285554,12.6861733109
86;002550;2550;00255;Nicandersgatan;0025;Tågaborg N;002;12303.361999511719;468.7918073207967;"{""type"": ""Polygon"", ""coordinates"": [[[12.68881467259001, 56.05680856472382], [12.68655520693087, 56.05618744432975], [12.685975479122199, 56.05694315182166], [12.688292308027565, 56.057354418482056], [12.68881467259001, 56.05680856472382]]]}";56.0568086356,12.6873566351
87;002560;2560;00256;Nicandersgatan;0025;Tågaborg N;002;11018.719055175781;456.71825450263435;"{""type"": ""Polygon"", ""coordinates"": [[[12.68881467259001, 56.05680856472382], [12.689339741982943, 56.05625985241196], [12.689336895283722, 56.056258971480034], [12.689094035057462, 56.05618709500864], [12.686992061610503, 56.055626232849974], [12.686703614437322, 56.05599397952057], [12.68655520693087, 56.05618744432975], [12.68881467259001, 56.05680856472382]]]}";56.0562187531,12.6879321847
88;002570;2570;00257;Nicandersgatan;0025;Tågaborg N;002;10921.222473144531;481.85591500878485;"{""type"": ""Polygon"", ""coordinates"": [[[12.686992061610503, 56.055626232849974], [12.689094035057462, 56.05618709500864], [12.689336895283722, 56.056258971480034], [12.689339741982943, 56.05625985241196], [12.689955717902357, 56.05561613433116], [12.689244605571483, 56.05544542208017], [12.689167765966161, 56.05545275823547], [12.68903213190238, 56.055540982596646], [12.688947768519295, 56.05554305984612], [12.687372535571503, 56.05514113599137], [12.686992061610503, 56.055626232849974]]]}";56.0556889591,12.6884892277
90;002590;2590;00259;Nicandersgatan;0025;Tågaborg N;002;5143.8052978515625;301.1372226620005;"{""type"": ""Polygon"", ""coordinates"": [[[12.688718695702423, 56.053660544915985], [12.68792720876115, 56.05443390146099], [12.688945582613753, 56.054648396487764], [12.689265781258118, 56.0546123374221], [12.689246737160612, 56.05448739490647], [12.689199518850147, 56.05417765032393], [12.689081201113696, 56.053995722894335], [12.688718695702423, 56.053660544915985]]]}";56.0542437758,12.6886990104
91;003000;3000;00300;Vikingsberg;0030;Tågaborg S;003;30492.52899169922;862.0581315068957;"{""type"": ""Polygon"", ""coordinates"": [[[12.69200421963089, 56.05229146710441], [12.691954180708032, 56.052269691406174], [12.69177740812294, 56.05208735684462], [12.691550892079059, 56.05127167223827], [12.691522658688582, 56.051227064234816], [12.688718695702423, 56.053660544915985], [12.689081201113696, 56.053995722894335], [12.689199518850147, 56.05417765032393], [12.689246737160612, 56.05448739490647], [12.689693798445902, 56.05424251934281], [12.690283849565205, 56.05391934462671], [12.690557034351865, 56.05379000514648], [12.691062828645094, 56.053443730259076], [12.691644096507089, 56.052891388635395], [12.692190182548146, 56.052372450134285], [12.69200421963089, 56.05229146710441]]]}";56.0529484443,12.6904973658
92;003010;3010;00301;Vikingsberg;0030;Tågaborg S;003;7465.919738769531;355.68090825408734;"{""type"": ""Polygon"", ""coordinates"": [[[12.690283849565205, 56.05391934462671], [12.691646993357843, 56.05449878308378], [12.691648954855514, 56.05449962223877], [12.692407126917935, 56.054022569815146], [12.691062828645094, 56.053443730259076], [12.690557034351865, 56.05379000514648], [12.690283849565205, 56.05391934462671]]]}";56.0539747065,12.6913586825
